ID;Titolo;Corpo;Reparto;Sentiment
1;Servizio lento;I camerieri erano cortesi ma il servizio era lentissimo. Abbiamo aspettato 20 minuti per il conto.;F&B;Negativo
2;Lasagna fredda;La lasagna è arrivata ghiacciata al centro, questo rendeva anche l’impasto particolarmente duro. Immangiabile.;F&B;Negativo
3;Terrazza solarium perfetta;La terrazza solarium era attrezzata con lettini, docce e un bar. Pulita e ordinata. Vista spettacolare.;Housekeeping;Positivo
4;Materasso scomodo;Il materasso era troppo morbido e mi ha fatto male alla schiena. Personale comunque gentile.;Housekeeping;Negativo
5;Reception maleducata;La ragazza alla reception è stata molto maleducata e disinteressata quando chiedevo informazioni.;Reception;Negativo
6;Torte artigianali buonissime;Le torte da forno a colazione erano fatte in casa con ricette tradizionali. Si scioglievano in bocca.;F&B;Positivo
7;Tisane biologiche;Vasta scelta di tisane e infusi biologici in camera e a colazione. Ottima varietà e qualità decente.;F&B;Positivo
8;Scambio teli mare rapido;Servizio di scambio teli mare rapidissimo. Personale efficiente e sempre con il sorriso.;Reception;Positivo
9;Troppo rumore;L'hotel è molto rumoroso. Pareti sottili, si sente ogni rumore. Difficile prendere sonno.;Housekeeping;Negativo
10;Attesa troppo lunga;Piatti gustosi ma attesa eccessiva tra le portate. Quasi un'ora tra antipasto e primo. Non c’era nemmeno così tanta gente.;F&B;Negativo
11;Poca luce in camera;L'illuminazione artificiale era scarsa e cupa. Ambiente poco piacevole.;Housekeeping;Negativo
12;Nessuna informazione al check-in;Nonostante le nostre richieste non ci hanno dato informazioni su orari e servizi. Ci siamo sentiti abbandonati.;Reception;Negativo
13;Mappa interattiva utile;Ci hanno dato accesso a una mappa interattiva della città. Utilissima e innovativa, apprezzata specialmente da noi amanti della tecnologia.;Reception;Positivo
14;Pulizia mediocre;Sotto il letto c'era polvere e ragnatele. Pulizia superficiale e sciatta.;Housekeeping;Negativo
15;Carne tenerissima;Tagliata di manzo cotta alla perfezione, proprio come piace a me. Super.;F&B;Positivo
16;Disguido risolto rapidamente;La persona che mi ha dato supporto ha risolto un piccolo problema con la prenotazione in pochi minuti. Professionali.;Reception;Positivo
17;Camere pulitissime;Camera sempre in ordine e profumata. Pulizia maniacale di ogni angolo.;Housekeeping;Positivo
18;Cameriere maleducato;Il cameriere è stato incredibilmente maleducato. Ci ha quasi insultati solamente perché gli abbiamo chiesto una salsa in più.;F&B;Negativo
